# from	to	version	name	size	sha256	url
id	en	1.0	model.iden.intgemm.alphas.bin	17141051	eeed3d8c2c78ec7011b31b2419e1d2dfdf2a7cc0ee0dbb1fcd164c934cb5d328	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/411195b7-3320-4390-87b8-47efed847e45.bin
id	en	1.0	vocab.iden.spm	772941	a2dd1462abd17cccbbf3fefc562131f06b293f8ff6a5efad73ebb0176810d835	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/a166d34f-91f1-46aa-bd74-3f0698cade5d.spm
is	en	2.0	lex.50.50.isen.s2t.bin	3951884	0655d05ccaf3cd2a01f910ef542455b7b14e66d96f6c95889079b9ca1ee168cf	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/0248937c-889b-4f94-bd01-b01453ef07a4.bin
is	en	2.0	model.isen.intgemm.alphas.bin	31561787	d2c285755d37f710458f1a49db5391a123e4e41ca7bd9829dd87cc61e4907ee6	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/7f963727-dae3-4004-91b0-6405a29ca2f0.bin
is	en	2.0	vocab.isen.spm	808315	5c69f0c81f6198f5615ac5aad9d89eb81a46ae8ea396a9e8e274a76409d35e13	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/4fa854b5-b9c3-4487-a430-e3237cd51059.spm
it	en	2.0	lex.50.50.iten.s2t.bin	4713616	0700d6d70b30490e68ff9deca0b45b80310745b491855bde3a13e1692d0cbce1	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/122ac310-0f7b-40d5-b49d-bcee81077c85.bin
it	en	2.0	model.iten.intgemm.alphas.bin	31561787	21b70978ce2f3b4da7a06b5de86a09abe3acd30b9eee1b2ebb3582b9bad790bf	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/a6e3de84-6612-4546-a4ef-b658ee23ca08.bin
it	en	2.0	vocab.iten.spm	812724	3ef0211d4ae6db21440892f180f2019fe2bfc110a330ffa9d2eca9665e4f2bc5	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/51b5a437-9daa-481e-a9bc-311f2b3f490c.spm
ja	en	2.1	lex.50.50.jaen.s2t.bin	9348172	525f412f0d210536c2933c78ae395fa0bf2b5ee6cc5dda61ebc2e79410ebaee4	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/4e6b3270-8a2f-491d-b717-f99749328622.bin
ja	en	2.1	model.jaen.intgemm.alphas.bin	43977787	3a603e20bfe1be86071913f9e23ab5129075bc0a8490151020ac4821e4f17302	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/2b066368-11b5-4cee-92e8-e6156b334f80.bin
ja	en	2.1	vocab.jaen.spm	1443222	5cb217758bae05877bb3f0c2f612e4e7c1e4cb03c10db11f4a47098d7ae62919	https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/translations-models/6f4898e3-ebaa-4a79-a1af-93a4f65b96fa.spm
